Name	URL	ProductID	Category	Items_id	Class	Class_id	reallyPrice	originalPrice	description	shopId	favourableDesc1	favourableDesc2	goodRateShow	poorRateShow	generalRateShow	goodCount	generalCount	poorCount	commentCount	defaultGoodCount	averageScore
法国 馥蕾诗（Fresh玫瑰润泽保湿/黑茶红茶紧致面膜 古源修护霜soft版100ml	https://item.jd.com/35314786291.html	35314786291	乳液面霜	35314786291	面部护肤	1316,1381,1391	2378.00	3000.00		123663			100	0	0	20	0	0	20	10	5
	https://item.jd.com/21132781777.html	21132781777	乳液面霜	21132781777	面部护肤	1316,1381,1391	238.00	238.00	;商品名称：蔻赛（COSE） 多效智颜面膜晚霜提拉紧致抗氧化补水保湿面膜晚霜50克/瓶;;商品编号：21132781777;;店铺：;蔻赛旗舰店;;商品毛重：350.00g;;适合肤质：任何肤质;;功效：补水，滋润，抗皱，修护，提拉紧致，提亮肤色，抗痘，舒缓镇静;;国产/进口：国产;;净含量：5g/mL-30g/mL;;分类：面霜;;适用人群：成人;;产品产地：中国大陆;	721953		满299元减30元	100	0	0	400	0	0	400	300	5
玫汐颜玉肌膏 30g正品淡印痘痕疤去青春痘闭口粉刺痘痘产品男女士通用草本植物 无激素 玉肌膏	https://item.jd.com/14815765829.html	14815765829	乳液面霜	14815765829	面部护肤	1316,1381,1391	128.00	198.00	;商品名称：玫汐颜玉肌膏 30g正品淡印痘痕疤去青春痘闭口粉刺痘痘产品男女士通用草本植物 无激素 玉肌膏;;商品编号：14815765829;;店铺：;芸蓉集旗舰店;;商品毛重：50.00g;;商品产地：中国大陆;;货号：YJG;;适合肤质：任何肤质;;功效：舒缓镇静;;国产/进口：国产;;净含量：31g/mL-50g/mL;;分类：面霜;;适用人群：成人;;产品产地：中国大陆;	695225			99	0	1	1400	7	7	1400	900	5
	https://item.jd.com/10443794453.html	10443794453	乳液面霜	10443794453	面部护肤	1316,1381,1391	475.00	1776.00	;商品名称：【京东】TST/庭秘密活酵母面膜/补水保湿冰肌如玉护肤化妆品系列/ 活酵母面膜乳50ml+靓肤保湿水120ML套装组合;;商品编号：10443794453;;店铺：;季妍美妆专营店;;商品毛重：346.00g;;商品产地：中国大陆;;货号：0000006;;适合肤质：任何肤质，干性，中性，油性，混合性;;功效：补水，保湿，滋润，提拉紧致，控油平衡，细致毛孔;;国产/进口：国产;;净含量：101g/mL-200g/mL;;分类：其它;;适用人群：成人;;产品产地：中国大陆;	42973			99	1	0	16000	70	70	16000	10000	5
	https://item.jd.com/100000097588.html	100000097588	乳液面霜	100000097588	面部护肤	1316,1381,1391	135.00	138.00	;商品名称：老中医祛红修颜素;;商品编号：100000097588;;商品毛重：110.00g;;商品产地：浙江省温州市;;货号：H03;;适合肤质：任何肤质，敏感性;;功效：舒缓镇静;;国产/进口：国产;;净含量：5g/mL-30g/mL;;分类：面霜;;适用人群：成人;;产品产地：中国大陆;	1000092430		满199元减10元，满299元减20元，满699元减50元	99	1	0	300	0	1	300	200	5
【官方正品】香港梵蜜琳神仙贵妇膏专柜网正品 胎盘膏 珍珠膏 面霜护肤套装 紧致淡化斑点 痘印 修护 臻活修护小礼盒	https://item.jd.com/17243315951.html	17243315951	乳液面霜	17243315951	面部护肤	1316,1381,1391	790.00	2670.00	;商品名称：【官方正品】香港梵蜜琳神仙贵妇膏专柜网正品 胎盘膏 珍珠膏 面霜护肤套装 紧致淡化斑点 痘印 修护 臻活修护小礼盒;;商品编号：17243315951;;店铺：;梵蜜琳劲凡专卖店;;商品毛重：8.00g;;适合肤质：任何肤质;;功效：补水，保湿，滋润，美白，抗皱，修护，提拉紧致，提亮肤色，抗痘，控油平衡，抗衰，抗氧化，舒缓镇静，细致毛孔，淡斑;;国产/进口：国产;;净含量：51g/mL-100g/mL;;分类：其它;;适用人群：成人;;产品产地：中国大陆;	717923			99	0	1	400	1	0	400	300	5
薇诺娜（WINONA） 紧致淡纹精华霜淡化 紧致塑颜 保湿补水 面霜 30g	https://item.jd.com/24802783476.html	24802783476	乳液面霜	24802783476	面部护肤	1316,1381,1391	189.00	378.00	;商品名称：薇诺娜（WINONA） 紧致淡纹精华霜淡化 紧致塑颜 保湿补水 面霜 30g;;商品编号：24802783476;;店铺：;薇诺娜涵娅专卖店;;商品毛重：94.00g;;商品产地：中国大陆;;货号：紧致淡纹精华霜30g;;适合肤质：干性，中性，油性，混合性;;功效：补水，保湿，滋润，提拉紧致;;国产/进口：国产;;净含量：5g/mL-30g/mL;;分类：面霜;;适用人群：成人;;产品产地：中国大陆;	751112	有效期2018-12-11至2018-12-16,满199减15;有效期2018-12-11至2018-12-16,满299减25;有效期2018-12-11至2018-12-16,满499减45		100	0	0	70	0	0	70	60	5
（领券满61减60）蒂佳婷（Dr.Jart）V7维他命面霜素颜霜 提亮肤色控油保湿 50ml	https://item.jd.com/25473617911.html	25473617911	乳液面霜	25473617911	面部护肤	1316,1381,1391	159.00	99999.00		751191	有效期2018-12-06至2018-12-14,满21减20;有效期2018-12-01至2019-01-02,满189减20;有效期2018-12-01至2019-01-02,满289减40	满58元以折扣价在购物车换购热销商品，满68元以折扣价在购物车换购热销商品	99	0	1	400	2	0	400	400	5
Olay/玉兰油深润营养滋润霜50g 深度水润 补水保湿滋润 柔嫩护肤面霜	https://item.jd.com/10375129010.html	10375129010	乳液面霜	10375129010	面部护肤	1316,1381,1391	37.00	45.00	;商品名称：Olay/玉兰油深润营养滋润霜50g 深度水润 补水保湿滋润 柔嫩护肤面霜;;商品编号：10375129010;;店铺：;卓乐美妆专营店;;商品毛重：120.00g;;商品产地：中国大陆;;适合肤质：任何肤质;;功效：补水，保湿，滋润;;国产/进口：国产;;净含量：31g/mL-50g/mL;;分类：面霜;;适用人群：成人;;产品产地：中国大陆;	546421		满99元减6元，满199元减12元，满299元减22元	98	1	1	1400	10	9	1500	900	5
	https://item.jd.com/5933895.html	5933895	乳液面霜	5933895	面部护肤	1316,1381,1391	868.00	1085.00		0			99	1	0	1100	0	3	1100	900	5
